id,ident,type,name,latitude_deg,longitude_deg,municipality
46569,IN-0046,heliport,Butcher Island Helipad,18.9623,72.90308333,Mumbai
46570,IN-0047,heliport,Mahalaxmi Race Course Helipad,18.98203333,72.82156667,Mumbai
46571,IN-0048,heliport,Raj Bhavan Helipad,18.94265,72.79401667,Mumbai
46564,IN-0041,heliport,HQ Eastern Air Command Helipad,25.53818333,91.82655,Myliem
46560,IN-0037,heliport,Namchi Helipad,27.15673333,88.32206667,Nayabazar
331083,IN-0105,small_airport,Muhammad Ali Khan,28.561,79.3834,New Delhi
314033,OMN,small_airport,Osmanabad Airport,18.281,76.0574,Osmanabad
46563,IN-0040,heliport,Pedong Helipad,27.15593333,88.61065,Pedong
46559,IN-0036,heliport,Pelling Helipad,27.3005,88.23085,Pelling City
46573,IN-0050,heliport,Phalodi Airfield,27.11283333,72.389,Phalodi
311989,IN-0088,small_airport,Poonch Airport,33.76875,74.083753,Poonch
313998,RMD,small_airport,Basanth Nagar Airport,18.701,79.3923,Ramagundam
313997,VORG,small_airport,Basanth Nagar Airport,18.701,79.3923,Ramagundam
317980,IN-0097,small_airport,Surichua Air Base,24.18824,87.701722,Rampurhat
46515,IN-0026,small_airport,Korba Airport,22.41416667,82.71944444,Rumgara
46555,IN-0032,heliport,Saiha Helipad,22.48858333,92.98695,Saiha
46558,IN-0035,heliport,Sevoke Road Indian Army Heliport,26.7744,88.45231667,Salugara
46553,IN-0030,heliport,Serchhip Helipad,23.32875,92.85606667,Serchhip
46565,IN-0042,heliport,Shillong Indian Army Helipad,25.54425,91.88171667,Shillong
327452,VASD,medium_airport,Shirdi Airport,19.688611,74.378889,Shirdi
46625,IN-0062,small_airport,Shirpur Airport,21.32399879,74.95673418,Shirpur
46640,IN-0064,small_airport,Umaria Air Field,23.53251391,80.80821991,Umaria
46561,IN-0038,heliport,Upper Tadong Indian Army Helipad,27.30671667,88.59965,Upper Tadong
319166,IN-0101,small_airport,Vanasthali Airport,26.407627,75.870128,Vanasthali
46557,IN-0034,small_airport,Vijay Nagar Airport,19.8841,73.84056667,Vijay Nagar
